Data,Apertura,Massimo,Minimo,Prezzo,Volume
20240425  16:00:00,2477.4,2477.4,2477.4,2477.4,1
20240425  17:00:00,2475.0,2475.0,2475.0,2475.0,1
20240425  18:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  19:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  20:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  21:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  22:00:00,2475.0,2475.0,2475.0,2475.0,0
20240426  16:00:00,2470.4,2470.4,2470.4,2470.4,1
20240426  17:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  18:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  19:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  20:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  21:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  22:00:00,2470.4,2470.4,2470.4,2470.4,0
20240430  15:30:00,2450.0,2450.0,2450.0,2450.0,0
20240430  16:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  17:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  18:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  19:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  20:00:00,2430.0,2430.0,2430.0,2430.0,1
20240430  21:00:00,2430.0,2430.0,2430.0,2430.0,0
20240430  22:00:00,2430.0,2430.0,2430.0,2430.0,0
20240501  15:30:00,2434.7,2434.7,2434.7,2434.7,0
20240501  16:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  17:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  18:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  19:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  20:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  21:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  22:00:00,2434.7,2434.7,2434.7,2434.7,0
20240503  15:30:00,2420.0,2420.0,2420.0,2420.0,1
20240503  16:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  17:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  18:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  19:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  20:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  21:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  22:00:00,2420.0,2420.0,2420.0,2420.0,0
20240509  15:30:00,2462.0,2462.0,2462.0,2462.0,0
20240509  16:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  17:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  18:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  19:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  20:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  21:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  22:00:00,2480.0,2480.0,2479.6,2479.6,2
20240510  15:30:00,2509.2,2509.2,2509.2,2509.2,0
20240510  16:00:00,2509.2,2509.2,2509.2,2509.2,0
20240510  17:00:00,2509.2,2509.2,2509.2,2509.2,0
20240510  18:00:00,2501.1,2501.1,2501.1,2501.1,1
20240510  19:00:00,2501.1,2501.1,2501.1,2501.1,0
20240510  20:00:00,2501.1,2501.1,2501.1,2501.1,0
20240510  21:00:00,2501.1,2501.1,2501.1,2501.1,0
20240510  22:00:00,2501.1,2501.1,2501.1,2501.1,0
20240513  17:00:00,2469.9,2469.9,2469.9,2469.9,1
20240513  18:00:00,2472.5,2472.5,2472.5,2472.5,1
20240513  19:00:00,2473.6,2473.6,2473.6,2473.6,1
20240513  20:00:00,2473.6,2473.6,2473.6,2473.6,0
20240513  21:00:00,2473.6,2473.6,2473.6,2473.6,0
20240513  22:00:00,2473.6,2473.6,2473.6,2473.6,0
20240515  15:30:00,2508.4,2508.4,2508.4,2508.4,0
20240515  16:00:00,2504.7,2504.9,2502.1,2504.9,4
20240515  17:00:00,2509.5,2509.5,2509.4,2509.4,2
20240515  18:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  19:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  20:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  21:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  22:00:00,2509.4,2509.4,2509.4,2509.4,0
20240516  19:00:00,2515.5,2515.5,2515.5,2515.5,1
20240516  20:00:00,2515.5,2515.5,2515.5,2515.5,0
20240516  21:00:00,2515.5,2515.5,2515.5,2515.5,0
20240516  22:00:00,2515.5,2515.5,2515.5,2515.5,0
20240520  22:00:00,2557.0,2557.0,2557.0,2557.0,0
20240521  15:30:00,2563.4,2563.4,2563.4,2563.4,0
20240521  16:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  17:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  18:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  19:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  20:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  21:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  22:00:00,2563.4,2563.4,2563.4,2563.4,0
20240523  15:30:00,2500.5,2500.5,2500.5,2500.5,1
20240523  16:00:00,2480.0,2480.0,2480.0,2480.0,1
20240523  17:00:00,2480.0,2480.0,2480.0,2480.0,0
20240523  18:00:00,2481.8,2481.8,2481.8,2481.8,1
20240523  19:00:00,2481.8,2481.8,2481.8,2481.8,0
20240523  20:00:00,2481.8,2481.8,2481.8,2481.8,0
20240523  21:00:00,2481.8,2481.8,2481.8,2481.8,0
20240523  22:00:00,2481.8,2481.8,2481.8,2481.8,0
20240524  19:00:00,2467.4,2467.4,2467.4,2467.4,1
20240524  20:00:00,2467.4,2467.4,2467.4,2467.4,0
20240524  21:00:00,2467.4,2467.4,2467.4,2467.4,0
20240524  22:00:00,2467.4,2467.4,2467.4,2467.4,0
20240528  15:30:00,2490.7,2490.7,2490.7,2490.7,0
20240528  16:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  17:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  18:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  19:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  20:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  21:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  22:00:00,2490.7,2490.7,2490.7,2490.7,0
20240529  15:30:00,2479.5,2479.5,2479.5,2479.5,0
20240529  16:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  17:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  18:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  19:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  20:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  21:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  22:00:00,2479.5,2479.5,2479.5,2479.5,0
20240530  19:00:00,2475.0,2475.0,2474.6,2474.6,2
20240530  20:00:00,2474.6,2474.6,2474.6,2474.6,0
20240530  21:00:00,2474.6,2474.6,2474.6,2474.6,0
20240530  22:00:00,2474.6,2474.6,2474.6,2474.6,0
20240531  22:00:00,2477.7,2477.7,2477.7,2477.7,0
20240603  18:00:00,2471.5,2471.5,2471.5,2471.5,2
20240603  19:00:00,2471.5,2471.5,2471.5,2471.5,0
20240603  20:00:00,2478.3,2478.9,2478.3,2478.9,13
20240603  21:00:00,2476.5,2476.5,2476.5,2476.5,1
20240603  22:00:00,2476.5,2476.5,2476.5,2476.5,0
20240604  18:00:00,2450.9,2450.9,2450.9,2450.9,1
20240604  19:00:00,2450.9,2450.9,2450.9,2450.9,0
20240604  20:00:00,2450.9,2450.9,2450.9,2450.9,0
20240604  21:00:00,2450.9,2450.9,2450.9,2450.9,0
20240604  22:00:00,2450.9,2450.9,2450.9,2450.9,0
20240605  15:30:00,2460.1,2460.1,2460.1,2460.1,0
20240605  16:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  17:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  18:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  19:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  20:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  21:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  22:00:00,2460.1,2460.1,2460.1,2460.1,0
20240606  17:00:00,2499.0,2499.0,2499.0,2499.0,1
20240606  18:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  19:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  20:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  21:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  22:00:00,2499.0,2499.0,2499.0,2499.0,0
20240607  15:30:00,2474.0,2474.0,2474.0,2474.0,0
20240607  16:00:00,2474.0,2474.0,2474.0,2474.0,0
20240607  17:00:00,2474.0,2474.0,2474.0,2474.0,0
20240607  18:00:00,2474.0,2474.0,2474.0,2474.0,0
20240607  19:00:00,2474.0,2474.0,2474.0,2474.0,0
20240607  20:00:00,2474.0,2474.0,2474.0,2474.0,0
20240607  21:00:00,2474.0,2474.0,2474.0,2474.0,0
20240607  22:00:00,2474.0,2474.0,2474.0,2474.0,0
20240610  17:00:00,2431.5,2431.5,2431.5,2431.5,1
20240610  18:00:00,2431.5,2431.5,2431.5,2431.5,0
20240610  19:00:00,2431.5,2431.5,2431.5,2431.5,0
20240610  20:00:00,2431.5,2431.5,2431.5,2431.5,0
20240610  21:00:00,2437.5,2437.5,2437.5,2437.5,1
20240610  22:00:00,2437.5,2437.5,2437.5,2437.5,0
20240612  15:30:00,2450.0,2450.0,2450.0,2450.0,1
20240612  16:00:00,2450.0,2450.0,2450.0,2450.0,0
20240612  17:00:00,2460.6,2460.6,2460.6,2460.6,1
20240612  18:00:00,2461.6,2462.0,2461.6,2462.0,3
20240612  19:00:00,2462.0,2462.0,2462.0,2462.0,0
20240612  20:00:00,2462.0,2462.0,2462.0,2462.0,0
20240612  21:00:00,2462.0,2462.0,2462.0,2462.0,0
20240612  22:00:00,2462.0,2462.0,2462.0,2462.0,0
20240613  15:30:00,2437.0,2437.0,2437.0,2437.0,1
20240613  16:00:00,2435.4,2435.4,2435.4,2435.4,1
20240613  17:00:00,2435.4,2435.4,2435.4,2435.4,0
20240613  18:00:00,2435.4,2435.4,2435.4,2435.4,0
20240613  19:00:00,2435.4,2435.4,2435.4,2435.4,0
20240613  20:00:00,2435.4,2435.4,2435.4,2435.4,0
20240613  21:00:00,2435.4,2435.4,2435.4,2435.4,0
20240613  22:00:00,2435.4,2435.4,2435.4,2435.4,0
20240614  15:30:00,2445.2,2445.2,2445.2,2445.2,0
20240614  16:00:00,2445.2,2445.2,2445.2,2445.2,0
20240614  17:00:00,2445.2,2445.2,2445.2,2445.2,0
20240614  18:00:00,2449.8,2452.8,2449.8,2450.2,6
20240614  19:00:00,2450.2,2450.2,2450.2,2450.2,0
20240614  20:00:00,2450.2,2450.2,2450.2,2450.2,0
20240614  21:00:00,2450.2,2450.2,2450.2,2450.2,0
20240614  22:00:00,2450.2,2450.2,2450.2,2450.2,0
20240617  19:00:00,2438.3,2439.4,2438.3,2439.4,3
20240617  20:00:00,2439.4,2439.4,2439.4,2439.4,0
20240617  21:00:00,2439.4,2439.4,2439.4,2439.4,0
20240617  22:00:00,2439.4,2439.4,2439.4,2439.4,0
20240620  15:30:00,2456.0,2456.0,2456.0,2456.0,0
20240620  16:00:00,2456.0,2456.0,2456.0,2456.0,0
20240620  17:00:00,2456.0,2456.0,2456.0,2456.0,0
20240620  18:00:00,2456.0,2456.0,2456.0,2456.0,0
20240620  19:00:00,2480.0,2480.0,2480.0,2480.0,1
20240620  20:00:00,2480.0,2480.0,2480.0,2480.0,0
20240620  21:00:00,2481.1,2481.1,2481.1,2481.1,1
20240620  22:00:00,2481.1,2481.1,2481.1,2481.1,0
20240621  15:30:00,2471.0,2471.0,2471.0,2471.0,1
20240621  16:00:00,2471.0,2471.0,2471.0,2471.0,0
20240621  17:00:00,2471.0,2471.0,2471.0,2471.0,0
20240621  18:00:00,2471.0,2471.0,2471.0,2471.0,0
20240621  19:00:00,2471.0,2471.0,2471.0,2471.0,0
20240621  20:00:00,2471.0,2471.0,2471.0,2471.0,0
20240621  21:00:00,2471.0,2471.0,2471.0,2471.0,0
20240621  22:00:00,2471.0,2471.0,2471.0,2471.0,0
20240625  15:30:00,2443.7,2443.7,2443.7,2443.7,0
20240625  16:00:00,2443.7,2443.7,2443.7,2443.7,0
20240625  17:00:00,2443.7,2443.7,2443.7,2443.7,0
20240625  18:00:00,2438.2,2438.2,2438.2,2438.2,1
20240625  19:00:00,2437.9,2437.9,2437.9,2437.9,1
20240625  20:00:00,2437.9,2437.9,2437.9,2437.9,0
20240625  21:00:00,2437.9,2437.9,2437.9,2437.9,0
20240625  22:00:00,2437.9,2437.9,2437.9,2437.9,0
20240626  22:00:00,2438.9,2438.9,2438.9,2438.9,0
20240627  15:30:00,2441.6,2441.6,2438.7,2438.7,2
20240627  16:00:00,2438.7,2438.7,2438.7,2438.7,0
20240627  17:00:00,2438.7,2438.7,2438.7,2438.7,0
20240627  18:00:00,2438.7,2438.7,2438.7,2438.7,0
20240627  19:00:00,2438.7,2438.7,2438.7,2438.7,0
20240627  20:00:00,2438.7,2438.7,2438.7,2438.7,0
20240627  21:00:00,2438.7,2438.7,2438.7,2438.7,0
20240627  22:00:00,2438.7,2438.7,2438.7,2438.7,0
20240628  15:30:00,2444.1,2444.1,2444.1,2444.1,0
20240628  16:00:00,2444.1,2444.1,2444.1,2444.1,0
20240628  17:00:00,2444.1,2444.1,2444.1,2444.1,0
20240628  18:00:00,2449.9,2449.9,2449.6,2449.6,6
20240628  19:00:00,2449.6,2449.6,2449.6,2449.6,0
20240628  20:00:00,2449.6,2449.6,2449.6,2449.6,0
20240628  21:00:00,2449.6,2449.6,2449.6,2449.6,0
20240628  22:00:00,2442.9,2442.9,2442.9,2442.9,1
20240701  15:30:00,2445.6,2445.6,2445.6,2445.6,1
20240701  16:00:00,2449.4,2449.4,2441.8,2441.8,5
20240701  17:00:00,2441.8,2441.8,2441.8,2441.8,0
20240701  18:00:00,2447.0,2447.0,2447.0,2447.0,3
20240701  19:00:00,2447.0,2447.0,2447.0,2447.0,0
20240701  20:00:00,2447.0,2447.0,2447.0,2447.0,0
20240701  21:00:00,2447.0,2447.0,2447.0,2447.0,0
20240701  22:00:00,2447.0,2447.0,2447.0,2447.0,0
20240702  18:00:00,2439.0,2439.0,2439.0,2439.0,1
20240702  19:00:00,2439.0,2439.0,2439.0,2439.0,0
20240702  20:00:00,2439.0,2439.0,2439.0,2439.0,0
20240702  21:00:00,2439.0,2439.0,2439.0,2439.0,0
20240702  22:00:00,2439.0,2439.0,2439.0,2439.0,0
20240703  15:30:00,2472.5,2477.0,2472.5,2475.1,44
20240703  16:00:00,2479.8,2483.8,2477.3,2481.1,79
20240703  17:00:00,2480.6,2480.7,2479.5,2480.7,10
20240703  18:00:00,2480.2,2480.4,2477.5,2477.5,5
20240705  15:30:00,2493.0,2500.9,2493.0,2498.1,57
20240705  16:00:00,2498.2,2502.0,2492.9,2501.1,32
20240705  17:00:00,2497.0,2497.0,2497.0,2497.0,1
20240705  18:00:00,2505.0,2505.0,2505.0,2505.0,1
20240705  19:00:00,2508.3,2508.3,2506.8,2506.8,7
20240705  20:00:00,2503.8,2509.7,2503.6,2509.7,9
20240705  21:00:00,2510.9,2510.9,2507.0,2507.3,23
20240705  22:00:00,2507.3,2507.3,2507.3,2507.3,0
20240708  15:30:00,2492.8,2492.8,2492.8,2492.8,1
20240708  16:00:00,2492.8,2492.8,2492.8,2492.8,0
20240708  17:00:00,2489.5,2489.5,2471.0,2471.1,9
20240708  18:00:00,2472.6,2472.6,2472.6,2472.6,2
20240708  19:00:00,2475.7,2475.7,2475.7,2475.7,14
20240708  20:00:00,2475.7,2476.5,2475.3,2475.6,17
20240708  21:00:00,2475.6,2475.6,2475.6,2475.6,0
20240708  22:00:00,2475.6,2475.6,2475.6,2475.6,0
20240709  15:30:00,2483.1,2483.1,2483.1,2483.1,1
20240709  16:00:00,2475.0,2475.0,2475.0,2475.0,2
20240709  17:00:00,2469.0,2475.4,2467.0,2475.4,7
20240709  18:00:00,2475.4,2475.4,2475.4,2475.4,0
20240709  19:00:00,2475.4,2475.4,2475.4,2475.4,0
20240709  20:00:00,2475.4,2475.4,2475.4,2475.4,0
20240709  21:00:00,2475.4,2475.4,2475.4,2475.4,0
20240709  22:00:00,2475.4,2475.4,2475.4,2475.4,0
20240710  15:30:00,2495.9,2495.9,2495.9,2495.9,0
20240710  16:00:00,2501.3,2501.3,2492.7,2492.7,3
20240710  17:00:00,2492.5,2492.5,2492.5,2492.5,1
20240710  18:00:00,2492.5,2492.5,2492.5,2492.5,0
20240710  19:00:00,2492.5,2492.5,2492.5,2492.5,0
20240710  20:00:00,2492.5,2492.5,2492.5,2492.5,0
20240710  21:00:00,2492.5,2492.5,2492.5,2492.5,0
20240710  22:00:00,2492.5,2492.5,2492.5,2492.5,0
20240711  15:30:00,2524.7,2525.0,2512.4,2520.0,53
20240711  16:00:00,2524.3,2532.0,2524.3,2532.0,6
20240711  17:00:00,2540.0,2540.0,2540.0,2540.0,1
20240711  18:00:00,2530.3,2530.3,2527.8,2527.8,2
20240711  19:00:00,2527.3,2533.0,2527.3,2533.0,3
20240711  20:00:00,2533.0,2533.0,2533.0,2533.0,0
20240711  21:00:00,2533.0,2533.0,2533.0,2533.0,0
20240711  22:00:00,2533.0,2533.0,2533.0,2533.0,0
20240712  15:30:00,2515.4,2519.1,2515.4,2518.7,44
20240712  16:00:00,2521.2,2525.9,2521.2,2523.8,76
20240712  17:00:00,2527.0,2527.0,2526.9,2526.9,2
20240712  18:00:00,2529.1,2529.1,2529.1,2529.1,1
20240712  19:00:00,2533.6,2533.6,2533.6,2533.6,1
20240712  20:00:00,2533.6,2533.6,2533.6,2533.6,0
20240712  21:00:00,2533.6,2533.6,2533.6,2533.6,0
20240712  22:00:00,2527.1,2527.6,2527.1,2527.6,3
20240715  15:30:00,2530.6,2531.1,2528.7,2530.2,6
20240715  16:00:00,2533.8,2546.9,2533.3,2546.9,12
20240715  17:00:00,2549.1,2552.5,2548.4,2548.4,7
20240715  18:00:00,2550.3,2554.1,2546.3,2546.3,16
20240715  19:00:00,2546.3,2546.3,2546.3,2546.3,0
20240715  20:00:00,2535.9,2535.9,2535.6,2535.6,2
20240715  21:00:00,2535.6,2535.6,2535.6,2535.6,0
20240715  22:00:00,2535.6,2535.6,2535.6,2535.6,0
20240716  15:30:00,2553.4,2561.0,2552.5,2557.7,19
20240716  16:00:00,2558.7,2569.0,2556.9,2569.0,70
20240716  17:00:00,2570.3,2581.2,2569.9,2578.0,57
20240716  18:00:00,2578.3,2579.2,2575.3,2575.3,33
20240716  19:00:00,2576.7,2580.5,2576.7,2580.0,9
20240716  20:00:00,2581.1,2582.3,2579.2,2582.3,42
20240716  21:00:00,2583.0,2585.1,2583.0,2585.1,6
20240716  22:00:00,2585.1,2585.9,2584.0,2585.4,48
20240717  15:30:00,2592.0,2601.2,2588.9,2601.2,78
20240717  16:00:00,2601.4,2601.4,2578.7,2581.1,145
20240717  17:00:00,2581.1,2581.1,2581.1,2581.1,0
20240717  18:00:00,2577.2,2577.6,2570.7,2574.9,31
20240717  19:00:00,2573.0,2575.9,2571.8,2572.0,18
20240717  20:00:00,2575.3,2575.3,2575.3,2575.3,2
20240717  21:00:00,2577.3,2577.3,2574.8,2574.8,9
20240717  22:00:00,2576.0,2577.0,2576.0,2576.9,12
20240718  15:30:00,2576.9,2579.1,2575.0,2579.0,6
20240718  16:00:00,2581.1,2585.8,2579.3,2585.8,11
20240718  17:00:00,2584.7,2584.7,2578.2,2578.2,5
20240718  18:00:00,2576.7,2576.7,2572.7,2572.7,4
20240718  19:00:00,2570.3,2572.6,2568.6,2569.3,40
20240718  20:00:00,2569.3,2569.3,2569.3,2569.3,0
20240718  21:00:00,2561.9,2561.9,2556.2,2558.3,29
20240718  22:00:00,2558.3,2558.3,2558.3,2558.3,0
20240719  15:30:00,2509.0,2519.8,2509.0,2515.5,64
20240719  16:00:00,2517.4,2517.5,2511.8,2511.8,39
20240719  17:00:00,2520.0,2520.0,2516.7,2519.4,19
20240719  18:00:00,2517.6,2517.9,2515.0,2516.8,12
20240719  19:00:00,2512.8,2513.2,2509.4,2509.4,8
20240719  20:00:00,2511.8,2512.6,2506.2,2511.6,195
20240719  21:00:00,2511.8,2511.8,2511.8,2511.8,2
20240719  22:00:00,2512.0,2512.1,2512.0,2512.1,4
20240722  15:30:00,2509.1,2509.1,2505.1,2505.1,4
20240722  16:00:00,2505.5,2506.9,2495.9,2495.9,7
20240722  17:00:00,2500.3,2500.3,2497.0,2498.2,4
20240722  18:00:00,2500.7,2501.2,2499.1,2499.1,5
20240722  19:00:00,2505.6,2506.2,2505.6,2506.2,6
20240722  20:00:00,2506.4,2506.4,2506.4,2506.4,1
20240722  21:00:00,2506.4,2506.4,2506.4,2506.4,0
20240722  22:00:00,2506.4,2506.4,2506.4,2506.4,0
20240723  15:30:00,2515.1,2517.7,2512.2,2514.4,28
20240723  16:00:00,2514.8,2519.4,2514.6,2515.3,40
20240723  17:00:00,2515.2,2518.3,2515.2,2518.2,10
20240723  18:00:00,2516.3,2517.9,2516.1,2517.8,12
20240723  19:00:00,2518.2,2519.6,2515.2,2515.2,27
20240723  20:00:00,2515.2,2515.2,2515.2,2515.2,0
20240723  21:00:00,2515.2,2515.2,2515.2,2515.2,0
20240723  22:00:00,2515.2,2515.2,2515.2,2515.2,0
20240724  15:30:00,2531.6,2538.1,2531.6,2535.9,9
20240724  16:00:00,2540.0,2543.1,2535.2,2543.1,20
20240724  17:00:00,2541.0,2541.0,2541.0,2541.0,1
20240724  18:00:00,2537.1,2537.1,2533.0,2533.0,2
20240724  19:00:00,2528.7,2528.7,2524.8,2524.8,4
20240724  20:00:00,2524.8,2524.8,2524.8,2524.8,0
20240724  21:00:00,2524.8,2524.8,2524.8,2524.8,0
20240724  22:00:00,2524.8,2524.8,2524.8,2524.8,0
20240725  15:30:00,2477.4,2479.0,2476.7,2477.9,12
20240725  16:00:00,2472.0,2473.9,2468.7,2473.9,8
20240725  17:00:00,2475.2,2475.2,2470.4,2470.4,6
20240725  18:00:00,2467.8,2469.1,2467.8,2469.1,5
20240725  19:00:00,2470.9,2470.9,2460.3,2462.1,24
20240725  20:00:00,2464.5,2464.8,2464.0,2464.8,5
20240725  21:00:00,2464.8,2464.8,2464.8,2464.8,0
20240725  22:00:00,2466.6,2470.2,2466.4,2470.2,6
20240726  15:30:00,2487.3,2489.7,2487.3,2487.8,17
20240726  16:00:00,2489.2,2496.8,2489.2,2496.2,42
20240726  17:00:00,2490.9,2492.3,2489.8,2492.3,8
20240726  18:00:00,2493.1,2497.0,2493.1,2495.9,7
20240726  19:00:00,2495.6,2495.7,2489.4,2489.6,6
20240726  20:00:00,2489.6,2489.6,2489.6,2489.6,0
20240726  21:00:00,2489.6,2489.6,2489.6,2489.6,0
20240726  22:00:00,2489.6,2489.6,2489.6,2489.6,0
20240729  15:30:00,2503.2,2503.2,2503.2,2503.2,0
20240729  16:00:00,2488.2,2488.2,2488.2,2488.2,1
20240729  17:00:00,2480.0,2485.0,2477.3,2485.0,7
20240729  18:00:00,2484.1,2484.1,2484.1,2484.1,1
20240729  19:00:00,2487.0,2488.3,2487.0,2488.3,3
